"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"PFKP",2.5918582773516e-53,0.283301587813704,0.325,0.165,4.27190081273091e-49,"7","PFKP"
"TRIM37",3.10496092675801e-53,0.427362108127476,0.693,0.498,5.11759659948255e-49,"7","TRIM37"
"MFHAS11",3.49886503611959e-53,0.410344988433395,0.464,0.274,5.76682935253231e-49,"7","MFHAS1"
"BIN2",5.40949440990649e-53,0.362572433368135,0.828,0.647,8.91592868640788e-49,"7","BIN2"
"ANXA21",5.85345885189413e-53,0.367859406845662,0.669,0.454,9.64767087969191e-49,"7","ANXA2"
"RNF14",1.61223705529043e-52,0.314073290746435,0.411,0.231,2.65728911452969e-48,"7","RNF14"
"GOLIM41",2.3214852913727e-52,0.335301502879699,0.323,0.167,3.82627205724049e-48,"7","GOLIM4"
"COMMD101",2.69889679366269e-52,0.432185095241967,0.83,0.668,4.44832169531484e-48,"7","COMMD10"
"NCOR12",6.23306983032192e-52,0.341120828760686,0.918,0.795,1.02733456943366e-47,"7","NCOR1"
"LRRFIP21",9.76974592698845e-52,0.357948170497268,0.434,0.249,1.61024952368624e-47,"7","LRRFIP2"
"RCBTB2",1.48479047944153e-51,0.391515171398961,0.433,0.257,2.44723166821554e-47,"7","RCBTB2"
"CAPG1",1.16269444176663e-50,0.366593855773762,0.768,0.563,1.91635297891976e-46,"7","CAPG"
"PLPP11",1.45266723554523e-50,0.408501102047312,0.495,0.309,2.39428613762565e-46,"7","PLPP1"
"AHCYL22",1.61844237921726e-50,0.458756345058551,0.555,0.371,2.66751672942588e-46,"7","AHCYL2"
"SUPT3H1",2.59771907464855e-50,0.508508207415559,0.773,0.62,4.28156057883575e-46,"7","SUPT3H"
"FAR22",3.67903397404822e-50,0.417711995132081,0.576,0.372,6.06378379602627e-46,"7","FAR2"
"CHST112",1.14503060826259e-49,0.41175258066829,0.624,0.415,1.88723944853841e-45,"7","CHST11"
"GPR1832",1.40444560071678e-49,0.351385158211586,0.6,0.391,2.3148072391014e-45,"7","GPR183"
"JARID2",2.16378593808064e-49,0.4634235946036,0.57,0.381,3.5663519831445e-45,"7","JARID2"
"VCL1",2.30828191383171e-49,0.357748987549145,0.324,0.17,3.80451025037742e-45,"7","VCL"
"CAB39L2",3.77948526767716e-49,0.318192995899142,0.388,0.214,6.22934761818549e-45,"7","CAB39L"
"ATP2B12",4.30553913055173e-49,0.38852587827766,0.533,0.343,7.09638959497536e-45,"7","ATP2B1"
"IL7R2",4.80539875309571e-49,0.368596907625217,0.957,0.935,7.92025822485236e-45,"7","IL7R"
"IL18R11",6.25058120419994e-49,0.396296538758904,0.397,0.226,1.03022079407623e-44,"7","IL18R1"
"HEXB",1.13221553451272e-48,0.282979283583969,0.393,0.218,1.86611764398386e-44,"7","HEXB"
"SMAD2",1.95385232167958e-48,0.342701413260639,0.456,0.272,3.22033939659229e-44,"7","SMAD2"
"TBC1D11",2.85048274666352e-48,0.394607984337062,0.723,0.527,4.69816566305082e-44,"7","TBC1D1"
"CLIC51",2.95549341387092e-48,0.344663521897159,0.697,0.481,4.87124424474205e-44,"7","CLIC5"
"SPTY2D12",3.1198009833701e-48,0.310516158114459,0.506,0.31,5.1420559807906e-44,"7","SPTY2D1"
"LYSMD22",3.87081432897433e-48,0.305104101603113,0.518,0.319,6.37987617701549e-44,"7","LYSMD2"
"AP3M21",4.78860310029948e-48,0.334536429366566,0.451,0.27,7.8925756299136e-44,"7","AP3M2"
"DIAPH21",5.34674044195092e-48,0.376278221245089,0.963,0.903,8.8124975964235e-44,"7","DIAPH2"
"HOPX2",7.00151661058725e-48,0.307228022671932,0.914,0.776,1.15398996775699e-43,"7","HOPX"
"BTBD91",4.29039340795578e-47,0.479800207602821,0.756,0.603,7.07142641499271e-43,"7","BTBD9"
"ZNRF11",4.87329500716016e-47,0.35811669363705,0.715,0.504,8.03216483080137e-43,"7","ZNRF1"
"C7H1orf21",6.63746946660643e-47,0.361990149048996,0.284,0.145,1.09398771748607e-42,"7","C7H1orf21"
"CARD111",1.47014757861622e-46,0.349453899515286,0.68,0.479,2.42309723907525e-42,"7","CARD11"
"RAB27A2",1.63847153153669e-46,0.30559313080525,0.732,0.521,2.70052877827878e-42,"7","RAB27A"
"OSBPL1A",5.50264450795853e-46,0.290095288703273,0.255,0.124,9.06945867801726e-42,"7","OSBPL1A"
"IQGAP12",1.26998430156791e-45,0.288648547856286,0.947,0.835,2.09318812584423e-41,"7","IQGAP1"
"ABHD5",1.33068699389611e-45,0.393839147517756,0.524,0.345,2.19323830333957e-41,"7","ABHD5"
"TMEM165",1.74361161407659e-45,0.307240697584372,0.437,0.259,2.87382066232103e-41,"7","TMEM165"
"PHYH",1.9145395365048e-45,0.265536693925409,0.291,0.149,3.15554406406722e-41,"7","PHYH"
"LRCH1",2.68331608745555e-45,0.34835897637679,0.466,0.286,4.42264157534424e-41,"7","LRCH1"
"SUN11",3.7211932091836e-45,0.290707931684889,0.398,0.23,6.13327064737641e-41,"7","SUN1"
"MGLL1",3.91992203725017e-45,0.280125729974796,0.3,0.155,6.46081550179574e-41,"7","MGLL"
"EMB2",5.75050843553988e-45,0.333824505909104,0.708,0.511,9.47798800345684e-41,"7","EMB"
"SCFD2",6.10348378161628e-45,0.486719855930197,0.602,0.433,1.00597619688599e-40,"7","SCFD2"
"ITM2C1",9.66237416792291e-45,0.333366704256558,0.604,0.408,1.59255251035705e-40,"7","ITM2C"
"PHIP",1.60038079811098e-44,0.390778757385249,0.881,0.755,2.63774763144652e-40,"7","PHIP"
"STARD4",1.64992177210993e-44,0.267261421566366,0.309,0.163,2.71940106479159e-40,"7","STARD4"
"HK1",2.02240441712937e-44,0.28477103141578,0.4,0.229,3.33332696031262e-40,"7","HK1"
"THADA",2.47154516706016e-44,0.416710694399287,0.726,0.566,4.07360074434856e-40,"7","THADA"
"PARP81",5.33839939368844e-44,0.345245409688599,0.759,0.578,8.79874988067729e-40,"7","PARP8"
"SORL11",5.94853988860388e-44,0.324442585990188,0.789,0.608,9.80438344439691e-40,"7","SORL1"
"GIT21",1.08245259044018e-43,0.330564019007602,0.572,0.378,1.78409835956351e-39,"7","GIT2"
"DYRK31",2.35747879272721e-43,0.351616089627431,0.588,0.404,3.88559654617299e-39,"7","DYRK3"
"CD2",3.16839875474263e-43,0.332173740873521,0.823,0.665,5.2221548275668e-39,"7","CD2"
"TBL1XR11",4.93408933304062e-43,0.405347742078246,0.825,0.683,8.13236603871754e-39,"7","TBL1XR1"
"GPATCH2",8.06933557765112e-43,0.352519098720576,0.546,0.36,1.32998788990846e-38,"7","GPATCH2"
"NCOA7",1.29888517202185e-42,0.345235506709061,0.566,0.39,2.14082254052641e-38,"7","NCOA7"
"STAT41",1.60060141333666e-42,0.319812809373503,0.902,0.807,2.63811124946148e-38,"7","STAT4"
"OSTF11",1.6688789884393e-42,0.323335153027566,0.789,0.607,2.75064634874566e-38,"7","OSTF1"
"ESYT32",2.55937013248201e-42,0.419267186102665,0.552,0.373,4.21835385235684e-38,"7","ESYT3"
"BHLHE401",3.12319009190628e-42,0.261415383365085,0.332,0.181,5.14764190947994e-38,"7","BHLHE40"
"VTI1A1",5.13739505994836e-42,0.381457343372983,0.675,0.512,8.46745453780689e-38,"7","VTI1A"
"CLIC12",5.5545484849453e-42,0.280664648832819,0.919,0.784,9.15500681288685e-38,"7","CLIC1"
"MGAT51",8.4578712818272e-42,0.362465206650371,0.705,0.524,1.39402634467076e-37,"7","MGAT5"
"GAB32",1.15573039080175e-41,0.35862781008447,0.542,0.361,1.90487483011944e-37,"7","GAB3"
"NEDD91",1.30844880028897e-41,0.324949648230629,0.445,0.275,2.15658531263627e-37,"7","NEDD9"
"MPZL3",3.44939076810218e-41,0.262239608492968,0.278,0.145,5.68528586398602e-37,"7","MPZL3"
"AKAP131",3.60160787841911e-41,0.323795893678012,0.937,0.842,5.93617010521038e-37,"7","AKAP13"
"RALA1",4.27548588587527e-41,0.303506984253119,0.489,0.312,7.04685583709963e-37,"7","RALA"
"RASSF11",2.85828432906663e-40,0.255832536614702,0.409,0.243,4.71102423116761e-36,"7","RASSF1"
"UNC93B11",4.62590526331795e-40,0.307018823973023,0.669,0.474,7.62441705500065e-36,"7","UNC93B1"
"MICAL21",4.73599345181464e-40,0.28889055025317,0.365,0.211,7.8058644072809e-36,"7","MICAL2"
"RECQL",4.8168585468221e-40,0.27551113427106,0.356,0.204,7.93914625687219e-36,"7","RECQL"
"TSPO1",2.1458897815159e-39,0.347339522074441,0.735,0.562,3.5368555378945e-35,"7","TSPO"
"MDM2",3.53785433210522e-39,0.29810646798867,0.568,0.383,5.83109151017582e-35,"7","MDM2"
"SLC25A5",4.90519726848599e-39,0.296114915452678,0.522,0.341,8.08474613791861e-35,"7","SLC25A5"
"TESC2",1.09620252517829e-38,0.276475953891046,0.536,0.348,1.80676100199886e-34,"7","TESC"
"SLC4A71",1.18248526243452e-38,0.370033461106601,0.802,0.662,1.94897220954457e-34,"7","SLC4A7"
"OGT1",2.65404183901489e-38,0.279260896660961,0.905,0.807,4.37439175906434e-34,"7","OGT"
"MED15",2.95973326115209e-38,0.33939087316465,0.644,0.467,4.87823236103087e-34,"7","MED15"
"MDFIC2",3.24550699591183e-38,0.346242543251581,0.834,0.689,5.34924463066187e-34,"7","MDFIC"
"IAH11",3.43875460547171e-38,0.282261121783023,0.419,0.257,5.66775534073848e-34,"7","IAH1"
"PTPN11",8.04999611806906e-38,0.328506018046867,0.713,0.534,1.32680036018014e-33,"7","PTPN1"
"FLII",3.6113935871326e-37,0.274085746412874,0.528,0.348,5.95229891031195e-33,"7","FLII"
