"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"ENSCAFG00000008311",2.64085576947651e-250,-1.65548507699279,0.048,0.677,3.79438156958385e-246
"ANKRD12",4.30109178853932e-250,-1.64832686272202,0.049,0.681,6.1798086817733e-246
"ENSCAFG00000045013",2.70437574718701e-248,-1.7210526181754,0.103,0.751,3.88564707355829e-244
"ENSCAFG00000043616",2.04644313846449e-246,-1.36447264135235,0.075,0.715,2.94032950134578e-242
"NUCKS1",9.88902658761321e-246,-1.78716958916889,0.039,0.645,1.42085534010827e-241
"RPL15",3.48567416817623e-245,-1.36058437591632,0.446,0.908,5.00821664483561e-241
"PNISR",2.78804814359762e-244,-1.85685892508451,0.024,0.628,4.00586757272106e-240
"S100A8",4.42847027583277e-242,-3.39535949233202,0.192,0.749,6.36282609231652e-238
"RPL13",3.29152652063201e-239,-1.34858265926545,0.75,0.919,4.72926530484407e-235
"JAK1",1.16316391109501e-238,-1.33173117820306,0.138,0.81,1.6712339074613e-234
"IQGAP1",8.66751934357576e-238,-1.68259991878366,0.077,0.699,1.24534917928496e-233
"RPL8",1.06467947420108e-236,-1.17203561100099,0.772,0.942,1.52973146853211e-232
"RPL24",1.55518701781644e-236,-1.15665481312148,0.731,0.936,2.23449270719866e-232
"HSP90B1",4.95717459052695e-235,-1.6648637530324,0.069,0.688,7.12246845166912e-231
"SERPINB1",2.09464487676616e-234,-2.26147815074847,0.047,0.645,3.00958575893762e-230
"HNRNPD",8.52627615380857e-233,-1.52111080315082,0.045,0.648,1.22505535777922e-228
"RPS14",6.34842174561125e-231,-1.03281046757408,0.887,0.96,9.12141236409424e-227
"RPL4",1.16798879141025e-230,-1.55735367385906,0.068,0.685,1.67816629549825e-226
"RPS27",7.67686708898134e-230,-1.01319831196003,0.818,0.959,1.10301226334484e-225
"ENSCAFG00000009113",1.48358631894008e-227,-3.25670288673273,0.062,0.633,2.13161682305311e-223
"SSR3",3.64248656009287e-227,-1.55341493311808,0.065,0.668,5.23352468954144e-223
"ENSCAFG00000031588",2.83464633767749e-226,-1.68688311145331,0.061,0.647,4.07281985797501e-222
"EIF4A1",5.66390041681096e-226,-1.39388137978927,0.124,0.755,8.13789211887399e-222
"NUCB2",1.11820709244052e-223,-1.87594000342409,0.019,0.592,1.60663995041853e-219
"ATP5IF1",4.3906967190532e-223,-1.36202574680941,0.077,0.673,6.30855304593564e-219
"ETS1",2.4203537287822e-220,-2.39657796756084,0.017,0.577,3.47756423751426e-216
"HMGB1",2.87022816860964e-220,-1.13647393715355,0.224,0.888,4.12394383265833e-216
"ENSCAFG00000018784",9.31595149646692e-220,-1.21802477695853,0.594,0.932,1.33851591101237e-215
"ENSCAFG00000030359",1.6581319317614e-219,-1.47297195111716,0.04,0.625,2.38240395955479e-215
"UTP3",2.78686524588911e-218,-1.79158921482932,0.022,0.581,4.00416798529348e-214
"MACF1",6.95613008688471e-218,-1.50575341031978,0.089,0.692,9.99456770883596e-214
"ENSCAFG00000010572",2.11361961762381e-217,-1.6544656552791,0.03,0.596,3.0368486666019e-213
"ENSCAFG00000014478",2.39074664912361e-217,-3.07847083987845,0.058,0.604,3.4350247854608e-213
"COX5B",4.28153304730602e-217,-1.25503365537537,0.089,0.689,6.15170668236929e-213
"SMCHD1",6.42091170261836e-217,-1.65500916081969,0.039,0.613,9.22556593432206e-213
"HSP90AA1",4.2731869446717e-216,-1.42189561155717,0.067,0.66,6.1397150021043e-212
"PRPF4B",2.10196735741047e-215,-1.72561457372251,0.026,0.587,3.02010669912737e-211
