"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"UCK2",1.65276219395962e-10,0.272244679061471,0.357,0.236,2.72408264808424e-06,"5","UCK2"
"UMPS",1.85708602691007e-10,0.285574351600428,0.519,0.394,3.06084918955318e-06,"5","UMPS"
"BIN1",2.04904631218211e-10,0.275395336094018,0.565,0.402,3.37723813173856e-06,"5","BIN1"
"SMURF2",2.10093120179795e-10,0.25962618957298,0.332,0.214,3.46275480680338e-06,"5","SMURF2"
"CCT2",2.28949043846172e-10,0.275320245411466,0.452,0.324,3.77353814067261e-06,"5","CCT2"
"PRKCA1",2.3367217705027e-10,0.294868583060044,0.76,0.633,3.85138482214255e-06,"5","PRKCA"
"TCOF1",2.70373632275058e-10,0.27510271438136,0.457,0.315,4.4562982071575e-06,"5","TCOF1"
"CCAR1",3.30339169358364e-10,0.278019397363673,0.589,0.462,5.44465018936456e-06,"5","CCAR1"
"SPPL3",3.49358136017509e-10,0.30092673381729,0.514,0.377,5.75812079784059e-06,"5","SPPL3"
"USP34",3.87993743359309e-10,0.262096213662433,0.836,0.736,6.39491287804814e-06,"5","USP34"
"PPP6R2",3.88110757153526e-10,0.261558860340062,0.398,0.276,6.39684149940442e-06,"5","PPP6R2"
"WDR43",5.0789761780885e-10,0.287424079103602,0.423,0.299,8.37116853672546e-06,"5","WDR43"
"MIB1",6.14538074367672e-10,0.254490827664303,0.333,0.222,1.0128816541728e-05,"5","MIB1"
"UQCRC2",6.57005632670053e-10,0.256127416780028,0.408,0.29,1.08287668376678e-05,"5","UQCRC2"
"ERGIC1",6.59297571587323e-10,0.293698275621518,0.619,0.489,1.08665425749023e-05,"5","ERGIC1"
"BPTF",6.67467673302887e-10,0.252273174326722,0.741,0.62,1.10012021913782e-05,"5","BPTF"
"FXYD51",7.99992167800516e-10,0.273666377365136,0.709,0.563,1.31854709096881e-05,"5","FXYD5"
"VPS281",8.12119605456174e-10,0.271185355436761,0.54,0.398,1.33853553371287e-05,"5","VPS28"
"FOXO11",8.17628412527826e-10,0.281544517023729,0.773,0.652,1.34761514952836e-05,"5","FOXO1"
"USP49",9.65831060876732e-10,0.288203033227373,0.335,0.224,1.59188275453703e-05,"5","USP49"
"SH2D3C",1.00255184887047e-09,0.260728597737874,0.399,0.276,1.65240595730831e-05,"5","SH2D3C"
"SPIDR",1.37565834116874e-09,0.313906197123498,0.601,0.478,2.26736007791432e-05,"5","SPIDR"
"STRBP",1.68647401925725e-09,0.292101991889082,0.585,0.447,2.7796464785398e-05,"5","STRBP"
"GIT2",1.86127337936814e-09,0.255516668691022,0.621,0.496,3.06775078387457e-05,"5","GIT2"
"DDX10",2.03217099557527e-09,0.298869962962233,0.528,0.406,3.34942423490716e-05,"5","DDX10"
"POGLUT2",2.28534242151366e-09,0.260021236026423,0.44,0.314,3.76670137913882e-05,"5","POGLUT2"
"RTN4",2.67154018320309e-09,0.273414957935498,0.382,0.269,4.40323252995534e-05,"5","RTN4"
"THADA",2.75444482058202e-09,0.260060719527151,0.636,0.515,4.53987595328329e-05,"5","THADA"
"FBXL17",2.83958647972326e-09,0.269822904277295,0.599,0.472,4.68020643587988e-05,"5","FBXL17"
"CYRIB",3.02137117367094e-09,0.253728309631881,0.504,0.375,4.97982396844444e-05,"5","CYRIB"
"U2SURP",3.50858752380588e-09,0.266207617608362,0.604,0.48,5.78285395673685e-05,"5","U2SURP"
"KDM7A1",3.88649783493124e-09,0.279170717374653,0.262,0.17,6.40572573153367e-05,"5","KDM7A"
"LY6E1",4.48258226607569e-09,0.35366253883464,0.721,0.612,7.38819209094596e-05,"5","LY6E"
"MS4A11",7.20445838672524e-09,0.251582434357431,0.695,0.568,0.000118743883130005,"5","MS4A1"
